description,price,rooms,area,location,floor
 BATTALGAZİDE  4+1 GÜNEYBATI CEPHE  GİRİŞ FİYATINA DUBLEX,1850000.0,4,155,0,3
 Yapracık Atayurt Mahallesi Satılık 2+1 Bağımsız Mutfaklı Kat Seç...,2790000.0,2,95,2,1
 EMEKTE 2+1 YENİ LÜKS ÖN BAHÇE KATI,3750000.0,2,90,10,0
 ETİMESGUT'TA BAĞLICA 2 DE YENİ BİNADA PARK MANZARALI LÜX DAİREEE,2579000.0,3,125,2,1
 FATİH MEVLANA MAH. YILDIZ EMLAKTAN 3+1 ASANSÖRLÜ YAPILI DAİRE,1589000.0,3,125,8,0
 GATA YAKINI YÜKSEK KİRA GETİRİLİ HEM OTURMAYA HEM YATIRIMA UYGUN...,1590000.0,2,125,4,2
 UFUK KILIÇ EMLAK'TAN BAĞLARBAŞI MAHALLESİ AKTEPEDE 3+1 ORTA KAT ...,2220000.0,3,125,4,2
 UFUK KILIÇ EMLAK'TAN TEBESSÜM PİKNİK ALANI YANI 3+1 ASANSÖRLÜ FI...,2095000.0,3,125,7,4
 UFUK KILIÇ EMLAK'TAN FIRSAT PROTOKOL YOLU YAKINI 3+1 ASANSÖRLÜ 1...,2090000.0,3,125,7,1
 ▅▆▇█▓▒ HİSAR ▒▓█▇▆▅ 1+1 2+1 SEÇENEKLERİ VE ÖZEL ÖDEME İMKANI İLE,2757000.0,1,60,10,2
 KUZEY EMLAK'TAN GİYİNME ODALI FULL YAPILI 4+1 DAİRE,3850000.0,4,185,7,5
 ETİMESGUT`TA BELEDİYE YAKINI MANZARALI GÜNEŞ İÇİNDE DAİREEEEEEE,1948000.0,3,130,2,3
PUSULADAN PINARBAŞI 3+1 BAĞIMSIZ ULTRALÜX ARAKATTA FIRSAT DAİRSİ,1799000.0,3,130,8,2
SİNCAN TANDOĞAN MAH SATILIK 3+1 DAİRE BÖLGENİN EN UYGUNU ,1630000.0,3,120,8,3
 HAKAN EMLAK'TAN İSTASYON MAH.3+1 ARA KAT ÖN FULL+FULL YAPILI,1929000.0,3,135,8,1
 NATAVEGA'YA 300 M MESAFEDE MASRAFSIZ 3+1 KELEPİR DAİRE...,1400000.0,3,130,5,1
 SATILIK CADDEYE YAKIN KONUMDA MASRAFSIZ 3+1 DAİRE,2400000.0,3,130,5,1
 ETİMESGUT`TA YATIRIMA OTURUMA ARAÇ TAKASINA UYGUN YENİBİNA DAİRE,1365000.0,2,95,2,0
 SEVAL CAD.ÜZERİNDE TELEFERİK SONDURAK YÜRÜME MESAFESİNDE 3+1,2599000.0,3,140,9,2
 ETİMESGUT MERKEZ`DE HER BÜTÇEYE UYGUN 2+1 3+1 ARAKAT 0 DAİRELER!,1850000.0,2,85,2,0
UYGUN EMLAK'TAN MERKEZ' MAHALLESİN'D ASANSÖRLÜ 1.KAT 3+1 120 M²,2785000.0,3,130,7,1
ＰＵＳＵＬＡ ＥＭＬＡＫ'ＤＡＮSİTE İÇERİSİN'DE ULTRA LÜX YAPILI 4+1GENİŞ DAİRE,4000000.0,4,200,0,1
ＰＵＳＵＬＡ ＥＭＬＡＫ'ＤＡＮMERKEZİ KONUM'DA CADDEYE YAKIN2+1MASRAFSIZ DAİRE,1595000.0,2,105,0,1
 ÇOK ACCİLLLL______PAMUKLAR MAH 7/24 SAAT GÜVENLİKLİ YAPILI ASANS...,2625000.0,3,125,9,13
 ÖZÇELİK GRUPDAN AYDINLIKEVLERDE 3+1 YAPILI DAİRE,2590000.0,3,115,0,1
 NATOYOLU CADDESİ ÜZERİNDE İÇİ FULL YAPILI ULTRA LÜX 4+1 DUBLEX,2600000.0,4,200,5,0
YILDIRIM EMLAK’TAN KARAPÜRÇEK’TE CADDE ÜZERİ 3.KAT FORSAT DAİRESİ,1825000.0,3,135,0,3
2+1 SALON BAGIMSIZ KAT KONUMUNDA YÜKSEK GİRİŞ,1529000.0,2,100,8,0
Katta Manzaralı Fırsat Dairesi,2400000.0,3,130,9,1
 NATUREL EMLAK 3+1 SİTE DAİRESİ MANZARALI LÜKS YAPILI,3350000.0,3,135,4,11
 NATUREL EMLAK 3+1 MANZARALI 7. KAT YAPILI ACİLL,1675000.0,3,115,4,7
" EMEKTE YENİ LÜKS BİNADA 4+1 TERASLI ÖN DUBLEKS ""İSKANI ALINMIŞ""",8750000.0,4,170,10,0
