description,price,rooms,area,location,floor
 BATTALGAZİDE  4+1 GÜNEYBATI CEPHE  GİRİŞ FİYATINA DUBLEX,1.850.000 TL,weekend4+1,texture155 m2,Ankara - Altındağ - Battalgazi Mh.,layers3. Kat
 Yapracık Atayurt Mahallesi Satılık 2+1 Bağımsız Mutfaklı Kat Seç...,2.790.000 TL,weekend2+1,texture95 m2,Ankara - Etimesgut - Atayurt Mh.,layers1. Kat
 EMEKTE 2+1 YENİ LÜKS ÖN BAHÇE KATI,3.750.000 TL,weekend2+1,texture90 m2,Ankara - Çankaya - Emek Mh.,layersBahçe katı
 ETİMESGUT'TA BAĞLICA 2 DE YENİ BİNADA PARK MANZARALI LÜX DAİREEE,2.579.000 TL,weekend3+1,texture125 m2,Ankara - Etimesgut - Alsancak Mh.,layers1. Kat
 FATİH MEVLANA MAH. YILDIZ EMLAKTAN 3+1 ASANSÖRLÜ YAPILI DAİRE,1.589.000 TL,weekend3+1,texture125 m2,Ankara - Sincan - Mevlana Mh.,layersYüksek giriş
 GATA YAKINI YÜKSEK KİRA GETİRİLİ HEM OTURMAYA HEM YATIRIMA UYGUN...,1.590.000 TL,weekend2+1,texture125 m2,Ankara - Keçiören - Aşağı Eğlence Mh.,layersKot 2 (-2). Kat
 UFUK KILIÇ EMLAK'TAN BAĞLARBAŞI MAHALLESİ AKTEPEDE 3+1 ORTA KAT ...,2.220.000 TL,weekend3+1,texture125 m2,Ankara - Keçiören - Bağlarbaşı Mh.,layers2. Kat
 UFUK KILIÇ EMLAK'TAN TEBESSÜM PİKNİK ALANI YANI 3+1 ASANSÖRLÜ FI...,2.095.000 TL,weekend3+1,texture125 m2,Ankara - Pursaklar - Fatih Mh.,layers4. Kat
 UFUK KILIÇ EMLAK'TAN FIRSAT PROTOKOL YOLU YAKINI 3+1 ASANSÖRLÜ 1...,2.090.000 TL,weekend3+1,texture125 m2,Ankara - Pursaklar - Yunus Emre Mh.,layers1. Kat
 ▅▆▇█▓▒ HİSAR ▒▓█▇▆▅ 1+1 2+1 SEÇENEKLERİ VE ÖZEL ÖDEME İMKANI İLE,2.757.000 TL,weekend1+1,texture60 m2,Ankara - Çankaya - Alacaatlı Mh.,layers2. Kat
 KUZEY EMLAK'TAN GİYİNME ODALI FULL YAPILI 4+1 DAİRE,3.850.000 TL,weekend4+1,texture185 m2,Ankara - Pursaklar - Yunus Emre Mh.,layers5. Kat
 ETİMESGUT`TA BELEDİYE YAKINI MANZARALI GÜNEŞ İÇİNDE DAİREEEEEEE,1.948.000 TL,weekend3+1,texture130 m2,Ankara - Etimesgut - 30 Ağustos Mh.,layers3. Kat
PUSULADAN PINARBAŞI 3+1 BAĞIMSIZ ULTRALÜX ARAKATTA FIRSAT DAİRSİ,1.799.000 TL,weekend3+1,texture130 m2,Ankara - Sincan - Pınarbaşı Mh.,layers2. Kat
SİNCAN TANDOĞAN MAH SATILIK 3+1 DAİRE BÖLGENİN EN UYGUNU ,1.630.000 TL,weekend3+1,texture120 m2,Ankara - Sincan - Tandoğan Mh.,layers3. Kat
 HAKAN EMLAK'TAN İSTASYON MAH.3+1 ARA KAT ÖN FULL+FULL YAPILI,1.929.000 TL,weekend3+1,texture135 m2,Ankara - Sincan - İstasyon Mh.,layers1. Kat
 NATAVEGA'YA 300 M MESAFEDE MASRAFSIZ 3+1 KELEPİR DAİRE...,1.400.000 TL,weekend3+1,texture130 m2,Ankara - Mamak - Akşemsettin Mh.,layersKot 1 (-1). Kat
 SATILIK CADDEYE YAKIN KONUMDA MASRAFSIZ 3+1 DAİRE,2.400.000 TL,weekend3+1,texture130 m2,Ankara - Mamak - Şahintepe Mh.,layers1. Kat
 ETİMESGUT`TA YATIRIMA OTURUMA ARAÇ TAKASINA UYGUN YENİBİNA DAİRE,1.365.000 TL,weekend2+1,texture95 m2,Ankara - Etimesgut - 30 Ağustos Mh.,layersYüksek giriş
 SEVAL CAD.ÜZERİNDE TELEFERİK SONDURAK YÜRÜME MESAFESİNDE 3+1,2.599.000 TL,weekend3+1,texture140 m2,Ankara - Yenimahalle - Burç Mh.,layers2. Kat
 ETİMESGUT MERKEZ`DE HER BÜTÇEYE UYGUN 2+1 3+1 ARAKAT 0 DAİRELER!,1.850.000 TL,weekend2+1,texture85 m2,Ankara - Etimesgut - Kazım Karabekir Mh.,layersDüz Giriş (Zemin)
UYGUN EMLAK'TAN MERKEZ' MAHALLESİN'D ASANSÖRLÜ 1.KAT 3+1 120 M²,2.785.000 TL,weekend3+1,texture130 m2,Ankara - Pursaklar - Merkez Mh.,layers1. Kat
ＰＵＳＵＬＡ ＥＭＬＡＫ'ＤＡＮSİTE İÇERİSİN'DE ULTRA LÜX YAPILI 4+1GENİŞ DAİRE,4.000.000 TL,weekend4+1,texture200 m2,Ankara - Altındağ - Güneşevler Mh.,layers1. Kat
ＰＵＳＵＬＡ ＥＭＬＡＫ'ＤＡＮMERKEZİ KONUM'DA CADDEYE YAKIN2+1MASRAFSIZ DAİRE,1.595.000 TL,weekend2+1,texture105 m2,Ankara - Altındağ - Güneşevler Mh.,layersKot 1 (-1). Kat
 ÇOK ACCİLLLL______PAMUKLAR MAH 7/24 SAAT GÜVENLİKLİ YAPILI ASANS...,2.625.000 TL,weekend3+1,texture125 m2,Ankara - Yenimahalle - Pamuklar Mh.,layers13. Kat
 ÖZÇELİK GRUPDAN AYDINLIKEVLERDE 3+1 YAPILI DAİRE,2.590.000 TL,weekend3+1,texture115 m2,Ankara - Altındağ - Aydınlıkevler Mh.,layers1. Kat
